RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
684748V,七里橋,84748,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684749V,七塊厝,84749,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684785V,八仙洞,84785,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684786V,八桑安,84786,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684001V,八德路,84001,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684002V,力學路,84002,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684622V,十股,84622,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684003V,三民路,84003,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684004V,三民路,84004,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684005V,三民路,84005,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684787V,三間屋,84787,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684788V,上三崙,84788,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684823V,上大溪,84823,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684789V,上田組,84789,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684006V,上海街,84006,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684007V,上海街,84007,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684008V,上麒麟路,84008,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684790V,下三崙,84790,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684009V,下里路,84009,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684691V,下馬,84691,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684623V,下賓朗,84623,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684624V,下龍泉,84624,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684010V,千禧街,84010,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684011V,土地公路,84011,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684879V,土坂,84879,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684012V,土板路,84012,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684824V,大中寮,84824,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684013V,大仁街,84013,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684014V,大仁路,84014,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684015V,大王路,84015,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684016V,大正路,84016,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684601V,大白沙,84601,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684017V,大同路,84017,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684018V,大同路,84018,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684019V,大同路,84019,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684020V,大同路,84020,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684021V,大同路,84021,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684715V,大同路竹林巷,84715,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684022V,大安路,84022,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684862V,大竹,84862,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684825V,大坑,84825,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684023V,大孝路,84023,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684024V,大和路,84024,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684716V,大坡,84716,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684025V,大坡路,84025,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684026V,大忠路,84026,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684027V,大武街,84027,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684863V,大武街保安巷,84863,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684028V,大勇街,84028,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684029V,大勇路,84029,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684791V,大俱來,84791,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684692V,大埔,84692,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684717V,大埔,84717,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684792V,大峯峯,84792,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684566V,大埤池產業道路,84566,6,市區一般道路,V,臺東縣,TaitungCounty,2019-12-20
684864V,大鳥,84864,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684030V,大智街,84030,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684031V,大順路,84031,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684032V,大業路,84032,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684826V,大溪,84826,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684562V,大溪土板產業道路,84562,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684033V,大道路,84033,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684034V,大德路,84034,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684035V,大學路,84035,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684036V,大學路一段,84036,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684037V,大學路二段,84037,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684038V,大學路三段,84038,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684039V,小馬路,84039,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684040V,小康路,84040,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684693V,山平,84693,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684041V,山西路,84041,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684042V,山西路一段,84042,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684043V,山西路二段,84043,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684044V,山里路,84044,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684045V,山林路,84045,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684657V,山泉,84657,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684694V,山界,84694,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684747V,山界,84747,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684828V,山脚,84828,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684658V,山富,84658,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684046V,山富路,84046,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684827V,山棕寮,84827,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684659V,山順,84659,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684718V,山腳,84718,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684047V,中山東路,84047,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684048V,中山路,84048,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684049V,中山路,84049,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684050V,中山路,84050,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684051V,中山路,84051,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684052V,中山路,84052,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684719V,中山路通水巷,84719,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684053V,中正北路,84053,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684054V,中正路,84054,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684055V,中正路,84055,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684056V,中正路,84056,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684057V,中正路,84057,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684058V,中正路,84058,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684660V,中正路球庭巷,84660,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684695V,中石,84695,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684059V,中石路,84059,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684060V,中西一路,84060,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684061V,中西二路,84061,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684062V,中西三路,84062,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684661V,中和,84661,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684063V,中東一路,84063,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684064V,中東二路,84064,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684065V,中東三路,84065,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684793V,中城,84793,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684066V,中華北路,84066,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684067V,中華南路,84067,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684068V,中華路,84068,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684069V,中華路,84069,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684070V,中華路,84070,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684071V,中華路一段,84071,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684557V,中華路一段,84557,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684072V,中華路二段,84072,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684558V,中華路二段,84558,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684073V,中華路三段,84073,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684074V,中華路四段,84074,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684075V,中新街,84075,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684076V,中新路,84076,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684794V,中溪,84794,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684077V,中溪路,84077,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684696V,中福,84696,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684602V,中寮,84602,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684662V,中興,84662,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684750V,中興,84750,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684795V,中興,84795,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684078V,中興路一段,84078,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684079V,中興路二段,84079,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684080V,中興路三段,84080,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684082V,中興路五段,84082,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684578V,中興路五段,84578,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684083V,中興路六段,84083,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684084V,中興路六段690巷,84084,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684081V,中興路四段,84081,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684577V,中興路四段,84577,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684796V,中濱,84796,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684085V,五十戶路,84085,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684751V,五線,84751,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684086V,五權街,84086,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684087V,五權路,84087,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684088V,仁一街,84088,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684093V,仁七街,84093,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684089V,仁二街,84089,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684094V,仁八街,84094,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684090V,仁三街,84090,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684091V,仁五街,84091,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684092V,仁六街,84092,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684095V,仁和街,84095,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684096V,仁昌街,84096,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684097V,仁愛街,84097,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684098V,仁愛路,84098,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684099V,仁愛路,84099,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684100V,仁義北路,84100,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684567V,仁義南路,84567,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684101V,仁德街,84101,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684102V,公民路,84102,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684720V,公園,84720,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684103V,公園路,84103,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684603V,公舘,84603,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684721V,天公巷,84721,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684104V,天津街,84104,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684697V,天龍橋,84697,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684105V,太平右岸堤坊道路,84105,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684625V,太平村民生路,84625,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684894V,太平村和平路,84894,6,市區一般道路,V,臺東縣,TaitungCounty,2022-09-03
684106V,太平路,84106,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684107V,太平路,84107,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684626V,太平路仁德巷,84626,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684108V,太金路,84108,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684109V,太原路,84109,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684110V,太原路一段,84110,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684111V,太原路二段,84111,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684112V,太峰路,84112,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684113V,太麻里街,84113,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684114V,太湖路,84114,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684115V,文山路,84115,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684698V,文化,84698,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684722V,文化,84722,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684116V,文化公園路,84116,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684117V,文化街,84117,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684118V,文化路,84118,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684119V,文化路,84119,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684120V,文化路,84120,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684121V,文化路,84121,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684122V,文心街,84122,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684123V,文田路,84123,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684124V,文吉一街,84124,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684125V,文昌路,84125,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684126V,文昌路,84126,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684127V,文泰路,84127,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684128V,文廣路,84128,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684129V,日昇路,84129,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684663V,日新,84663,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684652V,木坑,84652,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684627V,比利良,84627,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684797V,水母丁,84797,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684664V,水源,84664,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684865V,水源山,84865,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684579V,水源街,84579,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684130V,水源路,84130,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684131V,水源路,84131,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684628V,水源頭,84628,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684723V,水墜,84723,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684604V,火燒山,84604,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684653V,仙山,84653,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684699V,加平,84699,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684665V,加典,84665,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684666V,加和,84666,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684700V,加和,84700,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684132V,加拉班街,84132,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684701V,加南,84701,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684866V,加津林,84866,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684702V,加樂,84702,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684867V,加羅坂,84867,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684133V,北一路,84133,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684134V,北二路,84134,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684135V,北三路,84135,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684829V,北太麻里,84829,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684136V,北平街,84136,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684137V,北平街,84137,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684138V,北安路,84138,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684830V,北里,84830,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684752V,北東河,84752,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684753V,北郡界,84753,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684754V,北源,84754,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684724V,北溪,84724,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684755V,北溪,84755,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684798V,北溪,84798,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684831V,北橋,84831,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684139V,卡吧嗨車道,84139,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684140V,古庄路,84140,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684880V,台坂,84880,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684568V,台板路,84568,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684142V,四川路,84142,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684143V,四川路一段,84143,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684144V,四川路二段,84144,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684145V,四維路,84145,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684146V,四維路一段,84146,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684147V,四維路二段,84147,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684148V,四維路三段,84148,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684149V,外環路,84149,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684667V,市場,84667,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684150V,市隆路,84150,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684151V,平等街,84151,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684152V,平等路,84152,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684756V,本部落,84756,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684668V,本源,84668,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684153V,正氣北路,84153,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684154V,正氣路,84154,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684856V,正興,84856,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684155V,民生街,84155,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684569V,民生街,84569,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684156V,民生路,84156,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684157V,民生路,84157,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684158V,民生路,84158,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684159V,民安街,84159,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684160V,民安路,84160,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684161V,民有街,84161,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684162V,民治街,84162,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684163V,民恆路,84163,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684580V,民恒路,84580,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684164V,民航路,84164,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684165V,民族街,84165,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684166V,民族路,84166,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684167V,民族路,84167,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684168V,民富路,84168,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684169V,民豐街,84169,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684170V,民權街,84170,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684868V,民權街中源巷,84868,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684171V,民權路,84171,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684172V,民權路,84172,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684173V,民權路,84173,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684174V,永安街,84174,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684175V,永安路,84175,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684669V,永盛,84669,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684799V,永福,84799,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684176V,永福路,84176,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684177V,永德路,84177,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684178V,永樂路,84178,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684179V,永樂路,84179,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684180V,永嶺路,84180,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684670V,永豐,84670,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684784V,玉水橋,84784,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684181V,甘泉街,84181,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684800V,田組,84800,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684881V,白雲山莊,84881,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684182V,白蓮路,84182,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684801V,石門溪,84801,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684183V,石傘路,84183,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684184V,立德路,84184,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684185V,光明路,84185,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684186V,光復路,84186,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684187V,光復路,84187,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684882V,光華農場,84882,6,市區一般道路,V,臺東縣,TaitungCounty,2022-02-15
684188V,光榮街,84188,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684189V,光榮路,84189,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
684190V,合江路,84190,6,市區一般道路,V,臺東縣,TaitungCounty,2018-09-28
