日期,淡水,鞍部,臺北,竹子湖,基隆,彭佳嶼,花蓮,蘇澳,宜蘭,東吉島,澎湖,臺南,高雄,嘉義,臺中,阿里山,大武,玉山,新竹,恆春,成功,蘭嶼,日月潭,臺東,梧棲,金門,馬祖
104年 12月,79.0,245.7,75.7,189.0,249.0,159.0,103.0,240.5,178.8,39.5,59.5,13.5,27.5,31.4,52.9,56.8,8.6,104.5,89.3,2.5,86.4,251.8,33.5,34.1,57.4,184.9,158.1
105年,"2,211.0","4,756.5","2,431.7","4,348.3","3,841.4","1,820.5","3,109.2","4,724.1","2,678.0","1,922.1","1,795.4","2,720.9","3,103.5","1,885.7","1,522.3","4,061.7","3,336.0","3,264.3","2,027.5","2,723.8","3,475.2","3,684.1","2,293.4","2,852.5","1,452.8","1,873.1","1,354.9"
105年 1月,270.5,477.2,256.0,335.6,441.2,177.5,159.5,284.1,122.1,115.9,122.6,170.9,179.5,139.4,204.9,422.7,171.2,387.9,311.1,98.5,177.3,507.2,326.5,151.5,215.5,196.6,185.3
105年 2月,140.5,315.8,78.9,288.1,422.2,120.7,25.0,341.3,119.1,38.6,10.6,38.0,24.5,12.3,24.2,91.4,6.9,53.6,73.3,2.0,54.6,210.0,42.0,21.7,15.1,41.3,63.8
105年 3月,253.5,365.5,285.7,330.1,317.1,197.4,126.5,192.5,177.3,105.0,134.0,96.5,79.0,129.7,194.6,409.8,66.9,108.0,304.4,18.9,87.3,296.3,275.0,62.0,233.3,248.2,154.1
105年 4月,233.0,280.4,184.4,228.3,192.9,136.2,64.0,76.2,102.4,278.4,252.8,146.0,182.5,193.5,183.4,291.0,119.1,275.6,285.1,64.1,89.9,38.9,239.0,135.7,173.3,274.6,211.8
105年 5月,95.5,190.0,186.7,153.9,176.2,76.7,174.0,189.1,89.7,68.5,95.3,87.3,97.5,33.5,100.3,202.0,48.5,99.5,206.0,75.0,127.0,284.9,160.0,43.1,151.5,223.5,69.9
105年 6月,336.5,397.7,429.8,335.4,255.0,348.2,169.0,398.5,209.1,95.6,94.8,376.5,383.0,262.5,230.9,646.5,215.7,502.5,230.5,368.5,67.9,146.4,443.0,91.6,210.0,55.0,109.2
105年 7月,128.0,211.1,174.6,166.9,125.3,36.0,337.0,141.1,134.7,369.4,215.5,374.0,315.0,208.7,166.7,288.2,365.5,275.0,44.6,383.8,505.0,236.9,205.5,298.2,28.7,137.0,48.5
105年 8月,58.5,100.6,141.4,112.0,112.3,22.8,284.5,141.5,154.2,101.0,168.8,91.5,427.0,189.4,184.6,300.2,345.0,191.8,100.9,548.5,252.7,296.8,179.3,215.8,237.5,73.5,130.8
105年 9月,440.0,"1,027.7",428.5,972.0,531.7,304.1,861.5,777.5,609.8,536.1,559.6,"1,220.3","1,098.0",637.2,126.2,"1,129.7",876.7,847.4,319.4,710.5,695.6,731.4,258.0,608.0,91.4,362.3,242.9
105年 10月,103.0,667.9,137.6,719.3,814.9,223.2,680.2,872.4,492.8,153.9,80.2,69.0,259.5,24.8,23.9,128.9,"1,011.0",250.8,27.0,393.5,"1,112.7",418.9,75.6,991.2,17.9,110.0,40.2
105年 11月,135.5,521.7,111.6,516.8,313.0,102.5,185.0,928.3,244.3,55.1,57.3,48.9,57.0,44.7,74.2,117.7,103.4,180.2,118.7,60.0,256.7,385.3,68.0,202.9,75.1,123.1,71.0
105年 12月,16.5,200.9,16.5,189.9,139.6,75.2,43.0,381.6,222.5,4.6,3.9,2.0,1.0,10.0,8.4,33.6,6.1,92.0,6.5,0.5,48.5,131.1,21.5,30.8,3.5,28.0,27.4
106年,"2,306.0","5,375.1","2,339.7","4,808.4","3,857.6","1,613.1","1,948.2","4,765.3","3,327.9",815.0,953.8,"1,195.2","1,124.5","1,854.8","1,652.2","4,362.4","2,190.6","2,641.5","1,394.0","1,720.0","2,048.9","2,993.7","2,568.0","1,971.5",955.5,649.2,"1,250.6"
106年 1月,30.5,179.5,21.8,138.6,254.7,34.7,19.0,268.3,96.6,-,0.9,-,-,1.3,4.0,10.0,18.0,22.2,23.4,12.5,46.9,161.4,4.0,6.7,1.5,4.6,20.4
106年 2月,121.0,223.0,123.7,184.0,264.5,81.8,51.5,209.3,74.7,1.7,3.4,1.0,-,1.2,20.8,33.4,20.6,44.9,91.7,6.2,104.4,129.3,14.0,24.4,23.3,90.1,53.7
106年 3月,146.0,209.7,182.7,175.0,288.8,173.7,76.0,130.7,97.3,2.4,16.8,12.8,3.5,18.4,38.0,107.4,19.4,35.4,154.6,2.4,75.9,150.0,57.5,42.2,45.4,39.7,155.3
106年 4月,98.5,150.6,121.5,135.5,141.9,63.9,106.2,127.9,151.8,79.4,132.3,64.5,113.5,105.9,98.8,330.5,91.1,358.0,124.0,28.0,104.4,150.0,255.5,82.8,65.5,44.6,143.8
106年 5月,143.5,181.5,135.5,163.1,229.1,198.4,144.5,271.7,227.6,69.0,81.2,79.5,129.0,77.8,111.5,336.0,88.1,339.5,99.5,48.7,103.1,317.9,347.5,184.5,65.8,100.9,103.6
106年 6月,915.5,"1,009.1",649.7,830.5,824.9,534.8,211.0,329.9,312.1,275.0,314.7,251.5,256.0,578.0,894.0,"1,986.6",291.6,800.0,581.5,105.0,118.3,13.9,"1,013.0",170.4,443.4,170.9,388.3
106年 7月,83.0,160.0,206.6,166.0,67.9,37.5,153.5,219.1,133.9,256.1,240.5,506.9,285.0,663.2,313.7,940.3,507.5,429.5,89.7,645.1,205.1,308.6,424.5,188.7,194.2,92.6,196.3
106年 8月,41.5,34.8,166.2,23.0,20.2,11.6,138.0,88.4,45.4,80.1,98.8,196.5,211.0,198.6,69.0,247.6,347.9,115.0,54.2,298.0,233.6,452.5,183.5,314.5,39.6,46.5,80.1
106年 9月,59.0,307.5,175.6,293.2,188.8,19.0,126.0,463.0,660.8,19.7,20.1,39.5,32.5,117.2,21.4,171.6,336.7,81.5,64.8,243.6,153.5,464.7,118.0,162.0,22.5,29.4,53.0
106年 10月,460.0,"1,607.3",368.6,"1,592.4",409.8,191.9,753.0,641.8,661.8,20.5,13.0,39.5,82.5,79.0,53.5,95.2,399.0,256.0,51.8,304.0,758.0,399.1,85.0,762.9,41.5,1.3,21.1
106年 11月,167.5,720.6,120.9,587.5,708.2,198.1,99.0,999.3,430.0,6.2,26.7,1.5,11.0,10.5,19.5,72.9,43.7,133.5,35.0,23.0,70.2,206.8,48.0,17.2,6.0,28.6,27.5
106年 12月,40.0,591.5,66.9,519.6,458.8,67.7,70.5,"1,015.9",435.9,4.9,5.4,2.0,0.5,3.7,8.0,30.9,27.0,26.0,23.8,3.5,75.5,239.5,17.5,15.2,6.8,-,7.5
107年,"1,711.5","4,459.2","1,621.0","4,046.1","3,405.7","1,391.4","1,388.2","5,006.2","2,505.5","1,596.4",958.9,"2,449.9","3,068.2","1,985.9","1,297.0","3,453.4","2,172.4","2,363.9","1,164.0","2,536.0","2,100.1","2,765.4","1,941.5","1,390.4","1,079.5",878.3,824.8
107年 1月,151.5,564.2,255.8,457.9,541.7,210.7,96.0,681.5,388.8,70.6,58.3,40.0,23.5,76.5,103.5,301.4,50.6,301.9,266.7,34.5,102.9,331.5,150.0,53.9,98.5,149.3,103.5
107年 2月,139.5,347.7,163.6,396.5,360.5,87.1,61.0,209.5,92.1,13.0,10.9,11.5,4.5,23.7,25.5,131.3,12.9,19.2,83.5,35.5,33.2,157.8,72.0,14.1,17.0,20.6,16.0
107年 3月,28.0,104.0,37.3,62.1,69.4,68.8,67.5,119.2,40.2,29.2,45.2,19.0,57.0,31.5,35.5,101.4,70.1,16.0,53.5,14.6,128.4,80.3,45.0,38.4,41.0,35.4,69.3
107年 4月,72.5,129.8,59.6,97.5,108.7,89.8,31.0,48.5,25.8,15.3,14.2,0.5,9.5,7.8,30.5,112.4,39.5,96.0,61.7,8.0,103.5,176.2,108.0,74.0,14.5,19.8,46.4
107年 5月,60.5,37.0,42.0,29.1,52.0,6.5,25.7,33.0,33.1,15.8,39.5,83.9,58.7,46.5,73.0,116.1,38.1,152.0,59.0,4.0,68.9,40.2,95.0,22.8,67.0,227.8,70.3
107年 6月,42.0,152.2,119.8,151.0,244.5,69.3,122.5,328.0,245.3,343.0,116.4,555.5,835.0,428.2,234.0,812.3,490.5,429.0,71.2,488.0,216.1,416.0,427.0,206.2,69.5,109.5,84.9
107年 7月,167.5,312.0,190.3,350.4,135.8,204.0,36.5,99.0,91.6,153.5,23.2,406.0,410.0,377.9,347.0,625.9,272.4,342.5,67.2,249.5,136.1,135.5,316.0,111.1,205.5,3.5,120.5
107年 8月,165.0,288.2,186.8,300.9,92.0,211.5,317.0,117.5,145.1,898.5,611.2,"1,301.0","1,600.5",858.5,408.5,894.2,679.9,614.0,264.4,"1,400.5",507.7,490.0,556.5,493.1,533.0,183.0,129.1
107年 9月,391.0,"1,076.5",321.9,885.5,558.4,212.8,199.0,432.5,165.0,30.8,1.5,31.0,66.0,118.5,20.0,258.9,357.0,227.3,134.5,281.0,479.4,200.5,128.5,254.3,4.0,29.9,14.5
107年 10月,140.5,465.7,125.1,453.0,403.5,59.3,133.5,983.5,535.1,2.2,2.5,0.5,1.5,8.8,7.5,60.9,111.0,92.5,40.8,8.4,133.7,170.1,18.0,37.0,4.5,5.5,31.9
107年 11月,88.0,361.8,64.4,230.1,261.2,61.2,249.5,663.0,436.7,24.2,31.7,1.0,2.0,8.0,10.0,35.8,32.3,65.5,31.0,6.0,126.1,236.2,24.5,30.7,16.5,73.5,124.0
107年 12月,265.5,620.1,54.4,632.1,578.0,110.4,49.0,"1,291.0",306.7,0.3,4.3,-,-,-,2.0,2.8,18.1,8.0,30.5,6.0,64.1,331.1,1.0,54.8,8.5,20.5,14.4
108年,"2,717.0","5,051.3","2,369.6","4,819.5","3,517.5","1,470.8","1,655.0","4,391.0","2,684.6","1,135.0",925.5,"2,177.2","2,226.0","1,977.8","2,508.0","4,125.6","1,823.0","2,726.3","2,098.3","2,287.3","1,469.4","2,789.7","2,871.0","1,092.4","1,660.5",905.3,"1,086.2"
108年 1月,79.5,301.1,45.0,238.4,382.1,150.6,71.0,"1,101.0",447.4,6.4,12.0,-,2.5,5.0,13.0,82.2,62.1,31.8,25.5,28.7,72.1,245.7,9.0,35.5,18.0,4.4,5.6
108年 2月,57.0,103.7,64.1,72.4,292.4,72.1,52.5,94.5,56.3,27.1,28.5,1.5,12.5,8.0,11.0,7.1,66.4,3.0,67.9,20.3,83.7,320.4,6.5,12.9,16.0,37.5,86.0
108年 3月,172.5,263.8,184.2,213.8,209.1,127.7,92.5,206.0,132.5,144.4,111.5,74.5,44.0,107.9,179.5,230.9,40.7,135.0,279.7,44.0,58.0,121.1,171.5,36.0,174.0,201.7,156.6
108年 4月,220.0,154.9,115.1,141.9,140.0,104.4,73.5,677.5,180.3,67.2,114.8,88.0,63.2,74.0,115.5,155.4,34.0,171.5,217.0,15.5,55.2,167.5,135.0,28.3,94.0,113.1,120.1
108年 5月,488.0,518.3,335.8,500.0,404.2,211.6,218.0,372.5,360.2,136.0,77.9,168.0,196.3,239.7,524.0,"1,105.5",279.1,807.5,515.0,134.7,118.8,273.6,674.0,165.7,272.0,190.0,64.0
108年 6月,460.0,542.9,419.5,445.3,431.1,345.5,164.5,106.5,180.8,106.4,92.7,273.5,357.5,316.5,480.0,866.3,112.3,537.5,482.7,215.5,95.0,179.1,754.5,132.9,284.5,117.1,337.2
108年 7月,116.5,315.2,439.3,317.0,102.3,37.3,66.5,88.5,67.1,261.7,178.5,573.0,500.0,335.5,177.5,267.2,216.7,155.5,48.5,587.5,89.0,346.8,216.5,136.9,109.5,45.3,192.4
108年 8月,192.0,379.6,212.4,397.3,173.3,124.6,289.0,219.5,218.0,169.2,169.6,758.0,726.2,631.5,768.0,"1,128.8",616.2,602.0,211.4,839.6,437.4,278.3,664.5,216.4,544.5,112.7,27.3
108年 9月,657.0,"1,333.8",377.1,"1,182.7",659.1,80.5,228.0,472.0,514.6,7.8,0.6,180.0,247.0,132.2,133.5,115.3,243.7,133.5,92.0,356.5,158.7,390.7,92.0,202.1,9.0,2.7,50.1
108年 10月,32.5,232.4,27.1,214.8,152.3,9.0,157.0,355.5,228.7,-,-,-,52.5,5.5,11.5,22.0,71.1,45.5,11.5,28.0,117.0,122.2,9.5,25.3,4.0,5.0,6.1
108年 11月,46.5,436.6,13.8,563.3,219.0,42.3,109.5,306.5,136.1,-,-,-,2.0,-,-,0.4,11.3,0.5,6.9,2.5,40.1,65.7,-,8.4,-,-,0.2
108年 12月,195.5,469.0,136.2,532.6,352.6,165.2,133.0,391.0,162.6,208.8,139.4,60.7,22.3,122.0,94.5,144.5,69.4,103.0,140.2,14.5,144.4,278.6,138.0,92.0,135.0,75.8,40.6
109年,"1,410.5","5,053.3","1,702.8","4,712.6","3,895.0","1,369.1","1,272.9","5,431.5","2,809.1",880.6,720.4,"1,530.3","2,162.5",982.8,"1,120.0","2,328.7","1,550.2","1,768.1","1,025.4","1,438.5","1,596.3","2,272.1","1,707.0","1,137.3",488.5,476.5,852.1
109年 1月,71.0,149.1,38.6,72.0,189.0,101.6,50.7,90.0,31.9,5.2,8.4,27.5,26.5,14.0,20.0,38.2,74.4,7.7,36.0,57.2,66.1,198.4,11.5,34.6,24.0,37.7,31.2
109年 2月,50.5,160.0,29.6,119.6,161.7,81.1,18.6,243.5,40.0,2.4,7.1,1.5,0.5,10.0,4.5,40.5,109.1,11.5,55.0,53.0,69.8,103.2,70.5,32.2,9.5,47.6,90.6
109年 3月,139.5,266.0,245.5,204.9,202.7,131.5,119.1,161.5,68.7,33.8,29.1,29.5,29.0,58.0,55.0,136.5,88.4,89.0,105.0,12.0,128.3,268.2,90.0,41.2,67.0,39.0,193.7
109年 4月,70.0,134.8,87.9,99.7,223.8,46.5,57.0,327.0,124.2,39.8,45.1,23.0,34.5,37.0,59.5,101.3,46.5,85.4,72.5,6.0,58.6,99.2,72.0,48.2,36.5,41.6,41.2
109年 5月,316.0,428.4,405.8,391.0,475.7,327.0,171.5,212.0,342.3,243.3,273.1,470.5,748.0,287.3,306.5,726.9,336.5,609.5,353.2,220.8,194.4,211.4,508.0,291.8,172.5,61.1,126.3
109年 6月,49.0,111.5,117.9,118.4,91.7,56.0,53.5,224.5,116.0,28.1,51.6,58.5,163.0,124.3,183.5,208.3,74.8,115.0,46.0,80.0,188.4,27.7,330.0,78.8,42.5,107.0,76.1
109年 7月,129.5,140.5,133.5,112.0,134.0,56.4,105.0,77.5,56.0,106.5,8.5,141.0,146.5,128.0,93.5,377.0,73.0,198.0,0.7,246.5,104.0,172.5,239.0,86.0,26.5,19.5,33.0
109年 8月,296.5,537.5,322.5,554.0,212.0,126.5,101.5,152.5,194.5,207.5,225.5,663.5,915.0,262.2,278.5,376.0,379.0,179.5,219.5,463.5,132.8,221.5,249.0,190.5,75.5,44.5,32.5
109年 9月,106.5,450.0,129.5,438.0,485.4,150.5,107.0,66.0,168.5,0.5,32.0,56.3,27.5,31.0,74.0,155.5,41.5,155.5,80.5,69.5,7.8,191.5,81.0,103.0,2.5,48.0,198.0
109年 10月,46.5,995.0,25.5,881.0,505.0,44.0,259.0,982.0,621.0,0.5,-,1.0,9.5,1.5,-,51.5,102.0,89.0,5.0,48.0,178.0,190.0,-,94.0,2.0,0.5,0.5
109年 11月,33.0,592.0,21.5,533.5,277.5,32.0,146.0,"1,102.0",483.5,203.5,24.5,52.0,55.0,6.0,3.5,36.0,205.5,114.5,7.5,180.0,326.6,235.5,5.0,125.0,1.0,5.0,1.0
109年 12月,102.5,"1,088.5",145.0,"1,188.5",936.5,216.0,84.0,"1,793.0",562.5,9.5,15.5,6.0,7.5,23.5,41.5,81.0,19.5,113.5,44.5,2.0,141.5,353.0,51.0,12.0,29.0,25.0,28.0
110年,"1,598.5","3,822.5","1,908.5","3,519.5","3,051.5","1,557.5","1,549.0","3,233.0","2,018.0",747.5,788.0,"2,241.5","2,600.4","2,081.5","1,969.0","3,605.0","2,215.5","2,239.5","1,183.8","2,399.5","1,878.5","2,632.0","2,141.0","1,352.5","1,339.0",472.0,"1,090.0"
110年 1月,86.5,292.0,41.0,347.0,342.0,117.5,54.5,372.0,46.0,-,0.5,2.5,1.0,5.0,5.0,24.5,14.5,18.5,4.5,2.5,66.0,86.5,10.5,7.5,1.5,-,0.5
110年 2月,66.5,245.5,46.5,230.5,127.5,179.5,35.0,315.0,69.5,21.5,28.0,13.5,27.9,0.5,23.5,40.5,44.0,43.0,51.5,20.0,121.0,92.5,24.5,54.0,44.5,40.0,83.5
110年 3月,78.5,153.5,77.5,141.5,242.0,61.0,23.5,124.5,37.0,2.5,4.0,5.0,-,8.0,29.0,52.0,25.5,27.5,100.0,2.0,38.5,79.5,19.5,1.0,25.5,20.0,67.0
110年 4月,16.5,74.0,60.0,45.0,185.5,62.5,99.5,108.5,72.0,2.5,12.0,20.0,36.0,16.5,8.0,95.0,77.0,37.5,62.5,0.5,101.0,125.5,67.0,29.5,20.0,50.0,43.0
110年 5月,205.0,223.0,119.5,169.0,224.0,202.0,127.0,140.0,164.0,27.0,119.5,79.5,31.0,121.5,235.0,229.0,13.5,37.5,123.8,4.0,256.0,1.0,264.5,59.5,162.0,50.5,193.0
110年 6月,168.0,225.0,316.5,214.0,305.0,145.5,113.0,276.5,198.0,120.0,96.5,793.0,911.0,731.5,645.5,795.0,240.0,281.5,200.5,589.5,94.0,246.5,491.0,110.5,343.5,81.5,49.5
110年 7月,256.0,564.0,288.0,683.0,179.0,81.5,18.5,160.5,197.5,159.5,104.0,458.0,476.5,246.0,132.0,414.0,135.5,283.5,142.0,402.0,47.0,257.5,301.0,62.5,102.0,10.0,23.0
110年 8月,156.0,234.5,409.0,181.0,203.0,141.5,72.0,113.0,116.0,378.5,402.5,713.0,869.0,861.0,813.0,"1,498.5",703.5,871.0,300.0,835.0,130.5,292.5,644.0,183.0,565.5,152.0,409.0
110年 9月,150.5,281.5,181.5,268.5,114.0,171.0,230.0,225.5,222.0,6.5,2.5,115.0,142.0,44.0,42.5,227.5,190.0,218.0,15.0,140.5,189.0,338.5,215.5,59.5,50.0,23.0,48.5
110年 10月,252.5,770.0,245.0,598.0,492.5,153.5,628.0,659.5,509.0,4.5,1.5,24.0,90.5,16.5,11.0,78.5,668.5,202.0,84.5,378.0,632.5,584.0,37.5,630.5,7.0,0.5,48.5
110年 11月,61.0,292.0,70.0,182.0,309.0,79.0,108.0,340.0,271.5,11.0,3.5,6.5,14.5,8.5,5.5,62.5,66.0,95.0,45.0,20.0,131.0,310.0,40.0,77.5,0.5,12.0,58.5
110年 12月,101.5,467.5,54.0,460.0,328.0,163.0,40.0,398.0,115.5,14.0,13.5,11.5,1.0,22.5,19.0,88.0,37.5,124.5,54.5,5.5,72.0,218.0,26.0,77.5,17.0,32.5,66.0
111年,"2,565.5","7,233.5","2,656.5","6,755.5","5,568.5","2,172.0","1,922.5","6,561.0","3,617.0",818.0,921.5,"1,001.0",971.0,"1,492.5","1,558.0","2,833.5","1,584.5","2,653.1","2,062.0","1,325.5","1,941.5","3,237.5","1,929.5","1,453.0",...,997.5,"1,247.5"
111年 1月,97.0,329.0,122.0,221.0,461.0,116.5,178.5,905.0,352.5,26.5,24.5,40.5,58.5,33.5,30.0,118.5,131.5,81.1,72.0,173.0,190.0,490.0,46.0,129.5,27.5,47.5,37.5
111年 2月,292.0,712.5,252.0,636.0,829.5,175.0,49.0,917.5,404.5,84.5,85.0,51.0,33.5,110.5,122.5,202.0,36.0,210.5,213.0,17.0,84.0,266.0,132.0,41.5,79.5,179.5,112.5
111年 3月,178.5,249.0,197.5,179.5,300.5,126.0,37.5,164.5,145.0,60.0,79.5,27.0,23.5,75.0,149.0,107.0,56.0,152.5,247.5,12.5,145.5,153.0,126.0,42.0,98.0,102.0,96.0
111年 4月,75.0,201.0,108.5,185.0,117.5,77.5,104.5,103.5,54.0,57.5,4.0,6.0,2.5,111.5,40.5,105.0,134.0,75.5,108.0,12.5,207.0,59.5,102.5,242.0,18.5,18.0,85.0
111年 5月,472.5,694.5,486.0,561.0,728.5,434.5,237.0,534.0,342.5,270.0,311.0,223.0,227.0,289.0,465.5,817.0,261.5,944.5,522.5,308.0,127.5,532.5,483.0,121.0,502.0,214.5,251.0
111年 6月,196.0,271.5,234.5,209.0,181.0,302.0,136.0,198.5,151.5,123.0,225.0,154.0,155.0,260.5,250.0,300.5,149.0,186.0,346.0,141.0,81.0,132.0,468.0,117.0,309.0,184.5,360.0
111年 7月,56.0,73.0,122.0,79.5,31.0,46.0,76.5,25.5,11.0,82.5,36.5,165.0,102.5,58.0,90.0,205.0,49.5,95.0,31.5,200.5,29.0,54.5,172.5,78.5,0.5,120.0,141.5
111年 8月,103.5,70.0,218.5,101.0,54.0,109.5,20.0,30.0,34.0,87.0,132.0,297.5,229.0,402.5,278.0,411.5,226.5,119.5,61.5,261.0,97.5,207.5,187.5,148.0,...,34.0,10.5
111年 9月,323.5,"1,066.5",256.0,977.5,412.5,210.0,117.5,319.5,262.5,7.0,3.0,25.5,108.5,107.0,85.0,312.5,111.5,491.5,220.5,42.0,156.5,134.5,156.5,76.5,...,31.0,2.5
111年 10月,489.5,"2,180.0",449.5,"2,426.0","1,004.5",251.0,878.0,"1,201.5",780.0,6.0,7.5,3.5,15.5,5.5,11.5,157.5,363.5,151.0,101.0,140.0,704.5,611.0,25.5,376.0,...,-,4.0
111年 11月,141.0,621.5,119.5,430.0,571.5,176.5,65.5,"1,174.5",667.5,6.0,6.5,1.0,-,-,19.5,36.5,36.5,64.5,112.5,13.5,69.0,502.5,15.0,75.5,...,47.5,99.5
111年 12月,141.0,765.0,90.5,750.0,877.0,147.5,22.5,987.0,412.0,8.0,7.0,7.0,15.5,39.5,16.5,60.5,29.0,81.5,26.0,4.5,50.0,94.5,15.0,5.5,...,19.0,47.5
112年(1月至5月),432.0,928.0,381.0,748.0,"1,111.0",588.0,414.5,...,529.5,61.0,174.5,30.0,64.5,264.5,399.0,600.0,322.0,454.5,623.0,111.0,532.5,855.5,436.0,193.5,...,302.0,368.0
112年 1月,40.0,240.5,28.0,141.5,300.5,153.5,199.5,443.0,230.0,4.0,2.5,0.5,-,7.5,5.0,31.0,51.0,62.0,9.5,6.0,160.5,155.0,14.0,69.5,...,15.0,38.5
112年 2月,63.5,236.0,37.5,201.0,352.5,176.0,29.0,323.5,116.5,-,9.5,-,-,-,7.5,20.0,21.0,4.0,21.5,6.0,27.0,105.0,11.0,7.0,...,43.0,63.0
112年 3月,28.0,80.0,23.5,53.0,129.5,77.0,21.5,112.5,46.5,4.5,10.0,-,-,15.0,19.5,40.5,12.5,9.0,23.5,0.5,83.0,247.5,24.0,10.5,...,66.0,92.0
112年 4月,82.5,135.0,109.5,124.5,146.0,122.5,37.5,...,51.0,11.5,70.5,1.0,2.5,79.5,188.5,135.0,32.5,74.0,141.0,5.5,69.5,140.5,124.5,13.0,...,99.0,126.5
112年 5月,218.0,236.5,182.5,228.0,182.5,59.0,127.0,...,85.5,41.0,82.0,28.5,62.0,162.5,178.5,373.5,205.0,305.5,427.5,93.0,192.5,207.5,262.5,93.5,...,79.0,48.0
